0.0006, 0, 28, 29, 2, 0.11, 0.101, 0.031, -4.687, -1.928, 0.447, -230, 1, 218, 8.275, 15, 130, 11
0.0333, 0, 28, 28, 2, 0.049, 0.04, 61.323, 4.265, -1.959, 0.254, -29, -33, -25, 0.0, 15, 130, 3
0.0833, 0, 28, 29, 2, 0.11, 0.101, 0.031, -4.688, -1.927, 0.447, -266, 7, 199, 8.274, 15, 130, 11
0.1166, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.659, -3.067, 0.256, -6, -33, 12, 0.0, 11, 130, 0
0.1333, 0, 28, 30, 2, 0.009, 0.018, 48.017, -0.104, -4.527, 0.915, -9, -12, 91, 7.569, 13, 130, 0
0.1667, 0, 28, 29, 2, 0.11, 0.101, 0.031, -4.69, -1.927, 0.447, -294, 1, 177, 8.274, 15, 130, 11
0.1999, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.66, -3.067, 0.257, -6, -35, 10, 0.0, 11, 130, 0
0.2166, 0, 28, 29, 2, 0.11, 0.101, 0.031, -4.689, -1.926, 0.448, -255, 0, 196, 8.275, 15, 130, 11
0.2500, 0, 28, 28, 2, 0.049, 0.04, 61.323, 4.284, -1.97, 0.263, -18, -33, -17, 0.0, 15, 130, 2
0.2999, 0, 28, 29, 2, 0.11, 0.101, 63.047, -4.691, -1.924, 0.448, -252, 7, 206, 8.275, 15, 130, 11
0.3167, 0, 28, 30, 2, 0.003, 0.025, 47.955, -0.108, -4.526, 0.925, -6, -4, 88, 7.57, 13, 130, 0
0.3333, 0, 28, 28, 2, 0.049, 0.04, 61.323, 4.29, -1.972, 0.268, -31, -26, -8, 0.0, 15, 130, 2
0.3833, 0, 28, 29, 2, 0.11, 0.101, 63.047, -4.691, -1.925, 0.448, -247, 11, 213, 8.275, 15, 130, 11
0.4166, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.66, -3.066, 0.257, 2, -41, 3, 0.0, 11, 130, 0
0.4333, 0, 28, 28, 2, 0.049, 0.04, 61.323, 4.296, -1.975, 0.271, -29, -27, -10, 0.0, 15, 130, 2
0.4500, 0, 28, 30, 2, 0.003, 0.025, 47.955, -0.114, -4.525, 0.933, -13, -9, 57, 7.566, 13, 130, 0
0.4666, 0, 28, 29, 2, 0.11, 0.101, 63.047, -4.69, -1.924, 0.449, -255, 27, 228, 8.274, 15, 130, 11
0.5166, 0, 28, 28, 2, 0.049, 0.04, 61.323, 4.301, -1.976, 0.274, -25, -39, -11, 0.0, 15, 130, 2
0.5333, 0, 28, 30, 2, 0.003, 0.025, 47.955, -0.117, -4.526, 0.936, -16, -19, 48, 7.567, 13, 130, 0
0.5666, 0, 28, 29, 2, 0.11, 0.101, 63.047, -4.69, -1.924, 0.449, -269, 14, 215, 8.274, 15, 130, 11
0.5999, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.661, -3.066, 0.258, -4, -37, 10, 0.0, 11, 130, 0
0.6499, 0, 28, 29, 2, 0.11, 0.101, 63.047, -4.692, -1.924, 0.45, -318, 7, 179, 8.275, 15, 130, 11
0.6832, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.661, -3.066, 0.258, -8, -36, 10, 0.0, 11, 130, 0
